,address,type,size,newcap,origurl,lat,long,price,commision_split,no_units,gross_rent_multiplier,lot_size,occupancy,property_subtype,additional_subtype,property_use_type,apn/parcel_id,year_built,no_stories,parking_ratio,apartment_style,listing_id,date_created,last_updated,description
15,1738 Spruce Berkeley CA,Multifamily,2693,6.0,https://www.loopnet.com/Listing/18402861/1738-Spruce-Berkeley-CA/,37.876154,-122.26576999999999,,2.5%,4,12.3,,,Duplex/Triplex/Fourplex,,Investment,,,,,,18402861,10/15/2013,02/12/2014,"
This super charming four plex has a suburb A+ location just ½ block to U.C. Berkeley onthe prestigious north side. It is here that you can walk to both the Cal Campus and overto the celebrated gourmet ghetto in under a minute. The location is also close to BARTand downtown Berkeley.The complex features 4 units: (1) 3 bedroom 1.5 bath (2) 2 bedroom 1 Bath units and (1)large 1 bedroom 1 bath unit. The building recently underwent a major renovation toupgrade portions of the foundation and improve seismic conditions. As part of theproject, the 3 larger units were remodeled; they feature new bamboo floors, new kitchenswith cherry cabinets, quartz counters, dishwashers, several new bathrooms and manynew appliances. The building has several on demand water heaters and a new coinoperated laundry room.
Great Location: The location is just minutes to Everything in the Heart of the East Bay, Closeto Downtown Berkeley, Emeryville, Oakland, Shopping areas such as Rockridge, Temescal,Piedmont Ave, Bay Street in Emeryville, U.C. Berkeley, Berkeley 4th Street shopping,Downtown Berkeley, Solano Ave, Jack London Square, Downtown Oakland and just acrossthe bay from San Francisco. With no traffic 15 minutes to Downtown SF driving or BART.
"
16,1749 Oxford St Berkeley CA,Multifamily,6600,6.0,https://www.loopnet.com/Listing/16860681/1749-Oxford-St-Berkeley-CA/,37.875966999999996,-122.26621999999999,,3%,21,11.06,"6,500 SF",96%,Mid/High-Rise,,Investment,58-2181-30,1928.0,3.0,,,16860681,10/05/2010,01/14/2011,"
Beautifully maintained and restored 21-Unit Property consisting of 5 studios, 10 one bedrooms, and 6 two bedroom units. All but two of the units have been wonderfully remodeled and retrofitted. Harwood floors throughout all units. Property produces excellent rents and maintains very high occupancy. Many upgrades have been made to this turn-key building including new interior and exterior paint, new roof, new carpet, new garage doors, and features updated plumbing and electrical. Beautifully landscaped with a lovely terraced patio.
Very-well located in the heart of North Berkeley, close to Shattuck, Solano Ave and Downtown Berkeley shopping. 1 Block to UC Berkeley and only 4 Blocks to Downtown Berkeley BART. Highly Desirable Location.
"
17,1780 LeRoy Ave Berkeley CA,Multifamily,4840,7.0,https://www.loopnet.com/Listing/14394060/1780-LeRoy-Ave-Berkeley-CA/,37.876447999999996,-122.25873,,2.5%,15,,"5,000 SF",100%,Garden/Low-Rise,,Investment,,1935.0,3.0,,,14394060,11/04/2005,07/20/2006,"
15 room, 6 bath home currently used as student housing, located across the street from UC Berkeley's North Campus.  Located on the corner of LeRoy and Ridge, and one block from the UC North Gate.  Known as the Claret House, it has 14 rooms plus an owner/manager's unit with seperate bath and kitchen.  Close to shops and restaurants on Euclid.  Driveway has room for about five cars.  Great investment oppt.
Northwest corner of LeRoy and Ridge.  Across the street from UC.
"
18,1907 Haste St Berkeley CA,Multifamily,6600,4.5,https://www.loopnet.com/Listing/14292620/1907-Haste-St-Berkeley-CA/,37.864571000000005,-122.27186,,,10,12.71,"6,750 SF",,Garden/Low-Rise,,Investment,,,3.0,,,14292620,08/05/2005,11/07/2005,"
This is a very well maintained and nicely lcoated 10 unit apartment building. Excellent unit mix of 8-two bedrooms, 1-one bedroom and 1-studio. Only 5 blocks to U C Berkeley campus. Covered, off street parking. Laundry room. Secured entry. This property has fantastic upside potential. Please call for detailed information package.
City of Berkeley. Located on Haste St. near Martin Luther King Blvd. only 5 blocks southwest of campus. The immediate neighborhood is a mix of single family residences and small apartment properties.
"
19,1933 Delaware Street Berkeley CA,Multifamily,6600,6.0,https://www.loopnet.com/Listing/14035783/1933-Delaware-Street-Berkeley-CA/,37.874656,-122.27181999999999,,,6,,"6,750 SF",,Garden/Low-Rise,,Investment,,,2.0,,,14035783,10/16/2004,12/06/2004,"
Highlights

Great Location
Modern units
Hard to find small apartment building

"
20,2008 Shattuck Ave Berkeley CA,Multifamily,5280,4.5,https://www.loopnet.com/Listing/19273622/2008-Shattuck-Ave-Berkeley-CA/,37.871733,-122.26867,,,39,,"5,266 SF",,Garden/Low-Rise,,Investment,057-2025-002,1918.0,3.0,,,19273622,06/05/2015,08/31/2015,"
-  39 Total Units-  32 - SRO Units-  3 - Larger SRO Units w/ Private Bathrooms-  1 - Larger SRO Unit w/ Kitchen & Private Bathroom-  1 - Office Unit-  2 - Commercial Retail Units-  Seasonal Student Housing Offsets Berkeley' s Rent Control-  Upside Potential in Rents-  Some Renovated Units-  Newer Hot Water Heater Tank (2014)-  Retrofitted Facade (1994)
-  Located in Downtown Berkeley-  Walking distance to Shops and Restaurants-  Immediate access to I-80, I-980 and Highway 24-  Two Blocks from the University of California, Berkeley-  Two Blocks from Downtown Berkeley BART
"
21,2010 Channing Way Berkeley CA,Multifamily,3682,4.0,https://www.loopnet.com/Listing/14467423/2010-Channing-Way-Berkeley-CA/,37.865256,-122.26951000000001,,,4,,,100%,Duplex/Triplex/Fourplex,,Investment,,1897.0,,,,14467423,01/17/2006,07/26/2006,"
Berkeley 4 units. Close to UC Campus. See attached flyer for details.
Channing off Shattuck
"
22,2015 Haste Street Berkeley CA,Multifamily,13640,6.0,https://www.loopnet.com/Listing/16487776/2015-Haste-Street-Berkeley-CA/,37.864917,-122.26926999999999,,,22,9.5,"13,500 SF",100%,Garden/Low-Rise,,Investment,,1964.0,,,,16487776,11/30/2009,08/05/2010,"
Three buildings on two contiguous parcels. Unit mix is two studios, fourteen one bedrooms, five two bedrooms, and a four bedroom two bath penthouse unit.
Excellent investment property in a great downtown/ south UC Berkeley campus location. PRICE REDUCTION TO $2,095,000.
"
23,2020 Dwight Way Berkeley CA,Multifamily,6600,4.5,https://www.loopnet.com/Listing/15121208/2020-Dwight-Way-Berkeley-CA/,37.863525,-122.26876999999999,,,3,,"6,482 SF",,Duplex/Triplex/Fourplex,,Investment,,1904.0,3.0,,,15121208,05/03/2007,10/16/2007,"
The subject property is a beautiful Victorian that consists of 2 one-bedroom one-bath units and 1 two-bedroom one-bath unit. The upper unit is ideal as an owners unit.  There are nine parking spaces that come with the property. Three are assigned to the triplex units and six are rented on a month-to-month basis. The eastside driveway provides access to the parking spaces. The gas and electricity are separately metered.  The property owner pays water and garbage. The owner will fence off the Westside of the property along the property line. The building has recently had a new foundation poured to replace the original brick.Two bedroom and one-bedroom apartments provide for a very stable and reliable income stream as apartments that will always be in high demand.  Units of this size are also highly desirable due to the quality of the location, proximity to the UC Berkeley campus, and the demographics of the surrounding area.    This is a tremendous opportunity for a buyer to acquire an attractive investment property in a good location. There is a strong rental market with a lack of developable land, good demographics, for Berkeley residential income property.
These well-kept units are conveniently located in a prime section of South Berkeley, less than five blocks away from the University of California Campus.  The building is a classic example of Berkeley Victorian housing, located in the heart of the  old residential  downtown.
"
24,2023 Channing Way Berkeley CA,Multifamily,4750,4.5,https://www.loopnet.com/Listing/17201611/2023-Channing-Way-Berkeley-CA/,37.86586,-122.26898,,,6,,,,Garden/Low-Rise,,Investment,,,,,,17201611,06/14/2011,03/12/2014,"
6 unit Berkeley Apartment. This classic 1900' s Berkeley apartment building has been wonderfully restored with significant care and attention to detail. The property is being offered for the first time since being remodeled. Great location with a Walkscore rating of 95.
This is a perfect opportunity to own a turnkey investment property located just one block from the University of California, Berkeley.TOUR: Thursday, June 16th from 1pm-2pm. Contact broker for details.
"
25,2053 Berkeley Way Berkeley CA,Multifamily,3080,7.0,https://www.loopnet.com/Listing/17927821/2053-Berkeley-Way-Berkeley-CA/,37.873079,-122.26878,,,4,,"3,122 SF",100%,Duplex/Triplex/Fourplex,Street Retail,Investment,057-2051-007,1904.0,2.0,,,17927821,11/27/2012,05/13/2013,"
2 ground floor commercial units with 4 residential units aboveDownload flyer for financial overview and lease/tenant details40' of frontage on Shattuck Avenue
Easy walk to BART, UC Berkeley, Gourmet Ghetto, Downtown Arts District.Just 1 block to UC Berkeley with 50,000 daily population and 2.5 blocks to downtown BART.Part of a rapidly changing area including:-- UC Berkeley Energy Biosciences Building (Helios), a 113,000 sq. ft. office/lab. Opened 9/12.-- Berkeley Central, a 9-story building with 143 residential units above retail. Opened 9/12.-- Acheson Commons proposed for 203 residential units above retail.-- New proposed Berkeley Art Museum and PFA.
"
26,2057 UNIVERSITY AVE Berkeley CA,Multifamily,6600,7.0,https://www.loopnet.com/Listing/15796867/2057-UNIVERSITY-AVE-Berkeley-CA/,37.87233,-122.26931,,,50,,"6,651 SF",95%,Mid/High-Rise,,Investment,,1919.0,3.0,,,15796867,07/10/2008,10/08/2008,"
Upside! The University Hotel in Berkeley, California offers an investor the opportunity to dramatically increase the annual net operating income and cash flow from their current levels.The University Hotel is situated on one of Berkeley' s highest traffic arterials, University Avenue, and is just two blocks away from the University of California campus. The subject property is mixed-use, and is comprised of 50 SRO residential units over two ground floor retail suites. Upside in the income stream is realized through more efficient management of the residential units which are significantly under rented. Of the 50 units, 92% have yet to be  raised to today' s market level of $700 per month. The ground floor retail is similarly underachieving with current rents far below that of today' s market level, of $2.00 per square foot triple-net for similar retail space in this trade area.
The residential portion of the building is a typical SRO-unit configuration with common area only restrooms, and showers/vanity/tub amenities. The two ground level retail suites flank the entry lobby and are industry standard for this trade area as to depths. Built in 1919, the University Hotel is of woodframe construction with masonry exterior walls and is approximately 16,840 gross square feet in size over three floors. The parcel size is approximately 6,651 square feet and enjoys the rare Hotel (89) zoning. Only 5 other properties in the city of Berkeley over 20 units (source: Realquest, Inc.) enjoy this unique zoning making the University Hotel one of a select group of assets which can cater to this specific high-demand residential rental pool.
"
27,2057 University Ave Berkeley CA,Multifamily,6600,5.5,https://www.loopnet.com/Listing/16473215/2057-University-Ave-Berkeley-CA/,37.87233,-122.26931,,2.25%,52,9.2,"6,651 SF",100%,Mid/High-Rise,,Investment,,,,,,16473215,11/16/2009,10/05/2010,"
The University Hotel is a mixed-use property featuring two ground floor retail spaces and 50 single resident occupancy rooms. The property has recently been renovated with new bathrooms in some units, new furniture and new interior carpet and paint throughout. Most of the recent tenants are students and have signed long-term leases.
The property is located on Berkeley's main thoroughfare, only a few blocks from U.C. Berkeley.
"
28,2109 Shattuck Ave Berkeley CA,Multifamily,24000,5.0,https://www.loopnet.com/Listing/14409084/2109-Shattuck-Ave-Berkeley-CA/,37.871025,-122.26735,,,35,,,100%,Mid/High-Rise,,Investment,,1912.0,,,,14409084,11/16/2005,03/14/2006,"
Fully renovated multi use building with historical charm. Heart of downtown Berkeley 1 block to UC.   3 commercial ground floor spaces with 32 apartments above. Also full basement with many potential uses. There is approximately $4,000 per month in potential upside in this building.
Prime location, 1 block to the University of California, Berkeley. Also, in the heart of the recently renovated downtown area. All public transportation including BART with 1/2 block of the building. This building is easy to keep full occupancy
"
29,2109 Shattuck Avenue Berkeley CA,Multifamily,23268,7.0,https://www.loopnet.com/Listing/14627799/2109-Shattuck-Avenue-Berkeley-CA/,37.871025,-122.26735,,,35,10.1,,,Mid/High-Rise,,Investment,,1912.0,5.0,,,14627799,05/18/2006,01/08/2007,"
This highly sought after and rarely available Pride of Ownership building is comprised of 35 Units: 32 Apartments, 2 Retail, and 1 Office space.  A majority of the apartments have been remodeled and are separately metered.  The building has undergone significant improvements such as: Major Seismic retrofit; New 20 year roof in 2002; Approximately 80% of units have been remodeled; All Commercial spaces have been remodeled; and much more.
The attractive subject property is in the Heart of Downtown Berkeley and just 1 block from the prestigious UC Berkeley campus.  It is centrally located at 2109 Shattuck Avenue between Addison Street and Center Street, which is walking distance to Berkeley s  Restaurant Row , Berkeley s Repertory Theater, the new Vista College campus, and BART.  Residents enjoy the convenience of being able to walk to campus, retail shopping, acclaimed restaurants, and public transportation.
"
30,2120 Delaware Street Berkeley CA,Multifamily,8237,5.0,https://www.loopnet.com/Listing/14266676/2120-Delaware-Street-Berkeley-CA/,37.8746,-122.26811000000001,,2.5%,12,13.4,,50%,Garden/Low-Rise,,Investment,,1930.0,3.0,,,14266676,07/12/2005,11/11/2005,"
Beautiful, extremely well-maintained 12 unit apartment building just 2 blocks north of the UC Berkeley campus.  The Berkshire Arms Apartments were built in 1930 and continue to maintain the classic stlye and architecture of that era.  There have been many recent upgrades and improvements to the property. Please see attached marketing package for full property information.
The Berkshire Arms Apartments are located in a prime North Berkeley location, just 2 blocks north of the UC Berkeley campus. The property is located within a short walking distance to Berkeley's Gourmet Ghetto which features excellent shopping and restaurants. The property is also located in walking distance to the UC campus, all forms of transportation including BART, and many other conveniences. Please see attached marketing package for full location details.
"
31,2125 Cedar St Berkeley CA,Multifamily,6160,5.0,https://www.loopnet.com/Listing/20381633/2125-Cedar-St-Berkeley-CA/,37.878854,-122.26766,,2.5%,4,13.0,"6,200 SF",,Duplex/Triplex/Fourplex,,Investment,59-2259-15,1908.0,2.0,"1.50 / 1,000 SF",,20381633,06/15/2017,08/25/2017,"
Contact Listing Agent for complete showing schedule. Offers due Friday, 6/30. 2125B has additional 306 sq ft of attic storage space next to loft area.
At nearly 2,500-square feet, this Colonial Revival sits on a 6,200-square foot lot, and is an ideal property for investors looking to capitalize on the densely populated, high-demand Gourmet Ghetto neighborhood. Located just two-blocks north of the UC Berkeley Campus, 2125-2127 Cedar ST features four large units (two of which are remodeled) and dedicated, off-street parking. While three of the four units are currently tenant occupied, there is considerable rental income potential. The owner's unit a 1BR with a loft area was recently remodeled and features an open plan with a natural flow between kitchen and dining spaces. It will be delivered vacant and is ready for owner-occupancy or can be rented out at market rent for additional income.
"
32,2137 Haste Street Berkeley CA,Multifamily,9055,5.0,https://www.loopnet.com/Listing/14783109/2137-Haste-Street-Berkeley-CA/,37.865244,-122.26579,,2.5%,8,11.8,,100%,Garden/Low-Rise,,Investment,,1905.0,3.0,,,14783109,09/06/2006,12/11/2006,"
PRICE REDUCED BY $55,000.Very large apartment units with crown molding, wainscoting and other details throughout. Please see attached marketing package for full property description information.
Pride of ownership property located jsut 3 blocks south of the UC Berkeley campus.  Also close to downtown Berkeley, Telegraph Avenue, and all forms of public transportation including BART.Please see attached marketing package for full location information.
"
33,2201 Channing Way Berkeley CA,Multifamily,5280,6.5,https://www.loopnet.com/Listing/15217394/2201-Channing-Way-Berkeley-CA/,37.866215000000004,-122.26536999999999,,,6,12.7,"5,250 SF",100%,Mid/High-Rise,,Investment,055188701200,1906.0,3.0,"6 / 1,000 SF",,15217394,06/27/2007,07/07/2007,"
Great 6-plex just two blocks south of U.C. Berkeley.  All units used as three bedrooms.  Student tenants.This has a new foundation, basement laundry and storage and solar panels!  Please call Candace Hyde-Wang at  if you are a principle.  Otherwise for a packet email    
Just 2 blocks south of U.C. Berkeley.
"
34,2204 Channing Way Berkeley CA,Multifamily,6600,6.5,https://www.loopnet.com/Listing/15215348/2204-Channing-Way-Berkeley-CA/,37.865936,-122.26527,,,6,12.7,"6,500 SF",100%,Garden/Low-Rise,,Investment,055188802400,1930.0,2.0,,,15215348,06/26/2007,06/29/2007,"
6-plex 2 blocks from U.C. Berkeley.  2 bedroom units, 4 are remodeled with own laundries. On site parking.Contact Candace Hyde-Wang by email -   - for informational packet or call  for principals.  
2 blocks from U.C. Berkeley on south side at Channing and Fulton.  Tenants are all students. 4 remodeled units and ew sewer.
"
35,2210 Durant Avenue Berkeley CA,Multifamily,7040,6.0,https://www.loopnet.com/Listing/16835535/2210-Durant-Avenue-Berkeley-CA/,37.866710999999995,-122.26522,,,13,10.83,"7,100 SF",100%,Garden/Low-Rise,,Investment,,,,,,16835535,09/15/2010,02/04/2011,"
The property consists of eight 1-bedroom units, four Studio units, and a separate 2-bedroom cottage at the rear of the property. Tenants pay their own gas & electricity, including separate gas water heaters, so operating expenses are very low. Almost all tenants are students, with no long-term residents.
2210 Durant Avenue is located one block away from UC Berkeley, and a very short walk to the tremendous restaurants and shops of Downtown Berkeley, Telegraph Avenue, and College Avenue. Public transportation including BART, and many other conveniences are also steps away. This property provides a buyer the opportunity to acquire an ideally located asset in one of the strongest rental markets in the Bay Area.
"
